Brand,AppOpens_Billion,query,RegisteredUsers_Billion
Others,6839.0,query1,
Motorola,6567.0,query1,
Huawei,5980.0,query1,
Apple,6263.0,query1,
Tecno,1252.0,query1,
OnePlus,5600.0,query1,
Oppo,6839.0,query1,
Realme,6839.0,query1,
Samsung,6839.0,query1,
Xiaomi,6839.0,query1,
Vivo,6839.0,query1,
Lenovo,5061.0,query1,
Infinix,359.0,query1,
Gionee,962.0,query1,
Asus,376.0,query1,
HMD Global,43.0,query1,
Micromax,1557.0,query1,
Lava,173.0,query1,
COOLPAD,0.0,query1,
Lyf,1.0,query1,
Others,,query2,151.0
Motorola,,query2,147.0
Huawei,,query2,136.0
Apple,,query2,134.0
Tecno,,query2,24.0
OnePlus,,query2,117.0
Oppo,,query2,151.0
Realme,,query2,151.0
Samsung,,query2,151.0
Xiaomi,,query2,151.0
Vivo,,query2,151.0
Lenovo,,query2,122.0
Infinix,,query2,10.0
Gionee,,query2,13.0
Asus,,query2,11.0
HMD Global,,query2,1.0
Micromax,,query2,32.0
Lava,,query2,5.0
COOLPAD,,query2,0.0
Lyf,,query2,0.0
